task,feature,importance_mean,importance_std
yield_kgm2,x,0.18448130340150615,0.019545661750240986
yield_kgm2,y,0.1195286184658124,0.01102754279618506
yield_kgm2,alpha_yield_kgm2,0.16900295017574304,0.014004733403677732
yield_kgm2,alpha_npk_ppm,0.7788067799382081,0.0538259893960828
yield_kgm2,alpha_soil_ph,0.012879989351634799,0.0033463547924066825
yield_kgm2,alpha_caco3_ppm,0.014026606082219506,0.0033802989411624257
yield_kgm2,x,0.09835627881066565,0.016711349934381982
yield_kgm2,y,0.13697263027811046,0.009075104999545017
yield_kgm2,alpha_yield_kgm2,0.211329057121601,0.017800822118107955
yield_kgm2,alpha_npk_ppm,0.5803516406829954,0.027293190259940477
yield_kgm2,alpha_soil_ph,0.019528215288976386,0.00268745805100843
yield_kgm2,alpha_caco3_ppm,0.007687957411755736,0.002957714590862271
yield_kgm2,x,0.20760795966038803,0.05198812314471519
yield_kgm2,y,0.10327610232158246,0.014690923321820842
yield_kgm2,alpha_yield_kgm2,0.18616777999081857,0.021886123263944634
yield_kgm2,alpha_npk_ppm,0.7975902063340824,0.10113895867821886
yield_kgm2,alpha_soil_ph,0.0288968984626964,0.0059772794717961285
yield_kgm2,alpha_caco3_ppm,0.011575739249195499,0.0026494647187841913
yield_kgm2,x,0.08674797542801423,0.018380182429509187
yield_kgm2,y,0.08225808611400384,0.010998497256719557
yield_kgm2,alpha_yield_kgm2,0.05448036402990969,0.013484161355005533
yield_kgm2,alpha_npk_ppm,0.8226290791445059,0.07862358740671309
yield_kgm2,alpha_soil_ph,0.016177255418244177,0.0057868009704217386
yield_kgm2,alpha_caco3_ppm,0.0024248298022221393,0.002707574579099811
yield_kgm2,x,0.15808486839684052,0.020258924483073225
yield_kgm2,y,0.15932805311213952,0.013473085502081695
yield_kgm2,alpha_yield_kgm2,0.15721715198538108,0.03604641287908168
yield_kgm2,alpha_npk_ppm,0.6966691915581027,0.06756643849118787
yield_kgm2,alpha_soil_ph,0.02174760407356549,0.007663092857358986
yield_kgm2,alpha_caco3_ppm,0.007330545212305334,0.0019406511662924451
npk_ppm,x,0.19019205241987516,0.01848792465258789
npk_ppm,y,0.09116133617960058,0.008574227462467214
npk_ppm,alpha_npk_ppm,0.7568371863791572,0.04960557887492037
npk_ppm,alpha_yield_kgm2,0.21200438272631567,0.019498515978946845
npk_ppm,alpha_soil_ph,0.009711475721093182,0.0039003481340751287
npk_ppm,alpha_caco3_ppm,0.011242461791770172,0.0030452867841993954
npk_ppm,x,0.07663394405405158,0.014345710442778898
npk_ppm,y,0.0811186842475082,0.004939611214906839
npk_ppm,alpha_npk_ppm,0.5529288119614835,0.020037811808121968
npk_ppm,alpha_yield_kgm2,0.2558270355541229,0.02083064466908166
npk_ppm,alpha_soil_ph,0.017269141479565348,0.0031483256158700095
npk_ppm,alpha_caco3_ppm,0.0037860291145525304,0.0027248470186256755
npk_ppm,x,0.18609428430562563,0.040861422055532254
npk_ppm,y,0.06612484615841092,0.011718157654346485
npk_ppm,alpha_npk_ppm,0.8265731243013713,0.10193266532489588
npk_ppm,alpha_yield_kgm2,0.21876719618660914,0.024999878262133506
npk_ppm,alpha_soil_ph,0.03138035132456912,0.005783985735199365
npk_ppm,alpha_caco3_ppm,0.012431672353158021,0.0019611805787739774
npk_ppm,x,0.07256968874318187,0.020066198276036
npk_ppm,y,0.06499786519264658,0.010645233227814998
npk_ppm,alpha_npk_ppm,0.9179950165926856,0.0794561545992505
npk_ppm,alpha_yield_kgm2,0.06226418350576181,0.013442529064065956
npk_ppm,alpha_soil_ph,0.017197173650046388,0.005977384847647943
npk_ppm,alpha_caco3_ppm,-0.0019592566892562002,0.0024063595673071833
npk_ppm,x,0.1527341566035468,0.016051625404083236
npk_ppm,y,0.12804022211272492,0.011025782684471148
npk_ppm,alpha_npk_ppm,0.7370968189656341,0.07357065995349618
npk_ppm,alpha_yield_kgm2,0.1929266510682053,0.040873924204161076
npk_ppm,alpha_soil_ph,0.017905430441242848,0.007786169526057805
npk_ppm,alpha_caco3_ppm,0.008158290217003636,0.0018551274710206934
soil_ph,x,0.009508121720901874,0.001150272360742071
soil_ph,y,0.012995460390238148,0.0009189446709954039
soil_ph,alpha_soil_ph,1.0814706955257662,0.05141116644738636
soil_ph,alpha_yield_kgm2,0.004220916407795705,0.0005540122572800105
soil_ph,alpha_npk_ppm,0.0008730896691205026,0.00025506998603334
soil_ph,alpha_caco3_ppm,0.3557790157510293,0.023347935985861577
soil_ph,x,0.02691263972508555,0.003846751351898562
soil_ph,y,0.021952032045401623,0.0021484206199642213
soil_ph,alpha_soil_ph,0.9885867643978485,0.06947733683651036
soil_ph,alpha_yield_kgm2,0.005892237052898569,0.0006738669412842187
soil_ph,alpha_npk_ppm,0.0015411916542621695,0.0002705245044259205
soil_ph,alpha_caco3_ppm,0.41110509168057985,0.022043607607696785
soil_ph,x,0.016755301541299977,0.002542152482396364
soil_ph,y,0.0297227961776291,0.0025983188161506016
soil_ph,alpha_soil_ph,0.9785503536237159,0.06549723123528517
soil_ph,alpha_yield_kgm2,0.0017557008493487014,0.00048712895651936266
soil_ph,alpha_npk_ppm,0.0007379477437877702,0.0005165348801688979
soil_ph,alpha_caco3_ppm,0.3868711223434946,0.03924668932425037
soil_ph,x,0.01299889226954358,0.0014147398742020163
soil_ph,y,0.01752375648489661,0.0013757350120784464
soil_ph,alpha_soil_ph,1.0421222274313937,0.09174131523925677
soil_ph,alpha_yield_kgm2,0.004476604334511594,0.0007102856473527216
soil_ph,alpha_npk_ppm,0.003613068541977793,0.00046608130684034916
soil_ph,alpha_caco3_ppm,0.33667586107276265,0.019046160636950558
soil_ph,x,0.015257055207282044,0.001470943814346019
soil_ph,y,0.016936736422589402,0.0027036216590029622
soil_ph,alpha_soil_ph,1.1866704483241355,0.0691901016697644
soil_ph,alpha_yield_kgm2,0.008766062980576583,0.0018154009527939653
soil_ph,alpha_npk_ppm,0.0028776553933055615,0.0005514191885310846
soil_ph,alpha_caco3_ppm,0.3130990969810442,0.02647054025160975
caco3_ppm,x,0.011728647302821804,0.0012760115570444725
caco3_ppm,y,0.013428778132499514,0.0007962456607965352
caco3_ppm,alpha_caco3_ppm,0.340347217283576,0.01876717181891058
caco3_ppm,alpha_yield_kgm2,0.005193857179901076,0.0006246557931298684
caco3_ppm,alpha_npk_ppm,0.0011136059058473452,0.00022515186644154225
caco3_ppm,alpha_soil_ph,1.1129738969437184,0.05499483542737313
caco3_ppm,x,0.019642368426648807,0.002362017754602958
caco3_ppm,y,0.022421908443379185,0.0023005827498519533
caco3_ppm,alpha_caco3_ppm,0.4063192098374152,0.02028962774519351
caco3_ppm,alpha_yield_kgm2,0.007558527063745588,0.0008413839297593143
caco3_ppm,alpha_npk_ppm,0.00157942695867129,0.0001627483068035333
caco3_ppm,alpha_soil_ph,1.0077637718536407,0.07953039036777768
caco3_ppm,x,0.017585158503541948,0.0023165887156382354
caco3_ppm,y,0.026460345616213243,0.0022508219926875035
caco3_ppm,alpha_caco3_ppm,0.38470753211834663,0.037815072243061035
caco3_ppm,alpha_yield_kgm2,0.00218698854948296,0.00037859765023254586
caco3_ppm,alpha_npk_ppm,0.0012372048090790455,0.00042885649108193567
caco3_ppm,alpha_soil_ph,1.006714762208686,0.06867009609584308
caco3_ppm,x,0.012511671335596428,0.0013076386676690649
caco3_ppm,y,0.016084134863853766,0.0012864940016330227
caco3_ppm,alpha_caco3_ppm,0.3396135718265113,0.01929058525466054
caco3_ppm,alpha_yield_kgm2,0.006086800500332279,0.0009184019285698667
caco3_ppm,alpha_npk_ppm,0.004409606415377937,0.0005967059989109012
caco3_ppm,alpha_soil_ph,1.0692803465324672,0.0974863610811317
caco3_ppm,x,0.015406744661268637,0.0012644775455262045
caco3_ppm,y,0.01730147216993823,0.0029976106991348003
caco3_ppm,alpha_caco3_ppm,0.29763772400011446,0.02451858431804277
caco3_ppm,alpha_yield_kgm2,0.011111371091476668,0.0022191065234884733
caco3_ppm,alpha_npk_ppm,0.002794328363830756,0.0004800699037681655
caco3_ppm,alpha_soil_ph,1.237355702853193,0.06580481528171218
